"_time","Mean (AHT20)","Mean (SDC40)","Mean (Other sensors)"
2025-09-04 12:10:00,36.4,36.2,44.4
2025-09-04 12:20:00,34.6,35.3,44.1
2025-09-04 12:30:00,34.5,36.0,43.7
2025-09-04 12:40:00,35.3,35.5,43.4
2025-09-04 12:50:00,36.2,34.7,43.3
2025-09-04 13:00:00,36.7,34.9,43.5
2025-09-04 13:10:00,36.5,34.9,43.2
2025-09-04 13:20:00,36.2,34.5,43.0
2025-09-04 13:30:00,36.5,34.3,43.3
2025-09-04 13:40:00,36.5,34.3,43.0
2025-09-04 13:50:00,36.0,34.1,42.5
2025-09-04 14:00:00,36.2,34.5,42.6
2025-09-04 14:10:00,35.7,34.2,42.4
2025-09-04 14:20:00,35.4,33.6,42.3
2025-09-04 14:30:00,36.0,33.9,42.6
2025-09-04 14:40:00,34.9,33.7,42.7
2025-09-04 14:50:00,35.2,33.9,42.9
2025-09-04 15:00:00,36.6,34.8,43.2
2025-09-04 15:10:00,37.0,34.8,43.2
2025-09-04 15:20:00,36.8,35.4,43.5
2025-09-04 15:30:00,37.0,35.5,43.8
2025-09-04 15:40:00,37.0,35.8,43.7
2025-09-04 15:50:00,36.9,35.3,44.2
2025-09-04 16:00:00,37.2,35.7,44.3
2025-09-04 16:10:00,37.9,35.8,44.3
2025-09-04 16:20:00,37.3,35.7,44.3
2025-09-04 16:30:00,37.7,35.4,44.2
2025-09-04 16:40:00,37.2,35.7,44.2
2025-09-04 16:50:00,38.0,35.8,44.5
2025-09-04 17:00:00,38.2,36.8,45.2
2025-09-04 17:10:00,37.1,36.8,44.7
2025-09-04 17:20:00,37.4,36.7,44.9
2025-09-04 17:30:00,37.3,36.4,45.1
2025-09-04 17:40:00,37.4,36.8,45.5
2025-09-04 17:50:00,37.4,36.5,45.4
2025-09-04 18:00:00,37.4,36.9,45.7
2025-09-04 18:10:00,37.5,37.1,45.9
2025-09-04 18:20:00,37.7,36.6,46.1
2025-09-04 18:30:00,37.8,37.4,46.2
2025-09-04 18:40:00,37.7,37.1,46.0
2025-09-04 18:50:00,37.9,37.3,46.2
2025-09-04 19:00:00,38.0,37.4,46.4
2025-09-04 19:10:00,38.0,36.9,46.4
2025-09-04 19:20:00,38.1,36.7,46.4
2025-09-04 19:30:00,38.1,37.8,46.7
2025-09-04 19:40:00,38.2,37.9,46.8
