"_time","Mean (DS18B20)","Mean (SDC40)","Mean (AHT20)","Mean (BMP280)","Mean (Others)"
2025-09-04 12:10:00,25.8,30.3,31.0,34.8,26.5
2025-09-04 12:20:00,26.0,30.8,31.8,36.5,26.9
2025-09-04 12:30:00,26.0,30.4,32.1,35.5,27.1
2025-09-04 12:40:00,26.2,30.6,31.3,35.8,27.0
2025-09-04 12:50:00,25.9,30.5,30.6,34.9,26.9
2025-09-04 13:00:00,25.9,30.5,30.3,35.0,26.8
2025-09-04 13:10:00,25.8,30.6,30.4,35.0,26.8
2025-09-04 13:20:00,25.9,30.6,30.3,35.1,26.8
2025-09-04 13:30:00,26.0,30.8,30.1,35.0,26.8
2025-09-04 13:40:00,26.0,30.9,30.4,35.2,27.0
2025-09-04 13:50:00,26.0,30.8,30.6,35.2,27.0
2025-09-04 14:00:00,26.2,30.8,30.3,35.2,27.1
2025-09-04 14:10:00,26.4,30.7,30.6,35.4,27.1
2025-09-04 14:20:00,26.2,30.8,30.5,35.1,27.0
2025-09-04 14:30:00,26.1,30.6,30.5,35.4,26.9
2025-09-04 14:40:00,26.0,30.8,31.2,36.0,27.1
2025-09-04 14:50:00,26.2,31.2,31.5,36.5,27.2
2025-09-04 15:00:00,26.2,30.8,30.6,35.3,27.1
2025-09-04 15:10:00,26.0,30.6,30.2,34.9,27.0
2025-09-04 15:20:00,26.1,30.6,30.4,35.1,26.9
2025-09-04 15:30:00,26.4,30.6,30.6,35.4,26.9
2025-09-04 15:40:00,26.1,30.6,30.7,35.4,26.8
2025-09-04 15:50:00,25.9,30.7,30.8,35.7,27.1
2025-09-04 16:00:00,26.3,30.7,30.8,35.4,27.0
2025-09-04 16:10:00,26.1,30.7,30.4,35.3,26.9
2025-09-04 16:20:00,26.2,30.6,30.7,35.5,27.0
2025-09-04 16:30:00,26.3,30.8,30.6,35.6,27.1
2025-09-04 16:40:00,26.2,30.6,30.8,35.3,27.2
2025-09-04 16:50:00,26.2,30.6,30.4,35.8,26.9
2025-09-04 17:00:00,26.1,30.6,30.9,35.3,27.0
2025-09-04 17:10:00,26.1,30.4,31.3,35.7,27.1
2025-09-04 17:20:00,26.1,30.3,31.3,34.9,27.0
2025-09-04 17:30:00,26.0,30.3,31.1,35.3,26.9
2025-09-04 17:40:00,25.9,30.2,31.2,35.5,26.8
2025-09-04 17:50:00,25.9,30.3,31.0,35.6,26.8
2025-09-04 18:00:00,25.8,30.1,31.1,35.8,26.7
2025-09-04 18:10:00,25.6,30.2,31.1,36.1,26.7
2025-09-04 18:20:00,25.9,30.3,31.1,35.9,26.7
2025-09-04 18:30:00,25.7,30.0,31.1,35.9,26.7
2025-09-04 18:40:00,25.7,30.3,31.0,35.9,26.6
2025-09-04 18:50:00,25.5,30.1,30.9,36.0,26.5
2025-09-04 19:00:00,25.8,30.2,30.8,35.6,26.5
2025-09-04 19:10:00,25.4,30.2,30.8,35.5,26.5
2025-09-04 19:20:00,25.5,30.1,30.8,35.3,26.4
2025-09-04 19:30:00,25.6,30.1,30.7,35.6,26.4
2025-09-04 19:40:00,25.5,29.8,30.7,35.7,26.4
2025-09-04 19:50:00,25.5,29.9,30.4,34.9,26.3
2025-09-04 20:00:00,25.3,30.3,30.4,35.4,26.2
2025-09-04 20:10:00,25.4,29.9,30.5,35.4,26.2
2025-09-04 20:20:00,25.4,29.7,30.5,35.5,26.3
2025-09-04 20:30:00,25.4,30.0,30.5,34.9,26.2
2025-09-04 20:40:00,25.4,29.9,30.5,35.2,26.2
2025-09-04 20:50:00,25.1,29.7,30.4,35.0,26.2
2025-09-04 21:00:00,25.3,29.6,30.4,35.4,26.1
2025-09-04 21:10:00,25.1,29.8,30.3,35.1,26.1
2025-09-04 21:20:00,25.3,29.8,30.2,35.7,26.1
2025-09-04 21:30:00,25.2,29.7,30.1,34.7,26.0
2025-09-04 21:40:00,25.2,30.0,30.2,35.4,26.0
2025-09-04 21:50:00,25.3,29.8,30.0,34.9,26.0
2025-09-04 22:00:00,25.1,29.6,29.9,35.1,26.1
2025-09-04 22:10:00,25.0,29.6,29.9,35.2,26.1
2025-09-04 22:20:00,25.2,29.6,29.9,35.2,26.0
2025-09-04 22:30:00,25.0,29.5,29.8,35.4,26.0
2025-09-04 22:40:00,24.8,29.6,29.8,35.0,26.0
2025-09-04 22:50:00,25.0,29.8,29.9,34.5,26.0
2025-09-04 23:00:00,24.9,29.6,29.8,35.1,25.9
2025-09-04 23:10:00,25.0,29.6,29.6,34.7,25.9
2025-09-04 23:20:00,24.9,29.4,29.7,34.8,25.9
2025-09-04 23:30:00,25.0,29.3,29.7,35.2,25.9
2025-09-04 23:40:00,,29.7,29.7,34.9,25.9
2025-09-04 23:50:00,25.0,29.4,29.6,34.8,25.8
2025-09-05 00:00:00,24.7,29.2,29.4,34.5,25.8
2025-09-05 00:10:00,,29.5,29.4,34.8,25.8
2025-09-05 00:20:00,24.8,29.1,29.4,34.7,25.8
2025-09-05 00:30:00,24.8,29.5,29.4,34.7,25.8
2025-09-05 00:40:00,24.8,29.3,29.2,34.8,25.7
2025-09-05 00:50:00,24.7,29.3,29.2,34.5,25.7
2025-09-05 01:00:00,24.7,29.2,29.2,34.7,25.6
2025-09-05 01:10:00,24.7,29.5,29.1,34.4,25.7
2025-09-05 01:20:00,24.5,29.2,29.1,34.3,25.6
2025-09-05 01:30:00,24.7,29.4,29.1,34.4,25.5
2025-09-05 01:40:00,24.6,29.1,28.9,34.4,25.5
2025-09-05 01:50:00,24.8,29.1,28.8,34.1,25.5
2025-09-05 02:00:00,24.6,29.2,28.8,33.9,25.5
2025-09-05 02:10:00,24.5,29.1,28.8,34.2,25.4
2025-09-05 02:20:00,24.4,28.8,28.8,34.1,25.4
2025-09-05 02:30:00,24.6,29.0,28.7,34.0,25.3
2025-09-05 02:40:00,24.6,29.2,28.6,33.9,25.3
2025-09-05 02:50:00,24.3,29.0,28.7,33.9,25.2
2025-09-05 03:00:00,24.5,28.9,28.6,34.1,25.2
2025-09-05 03:10:00,24.3,29.0,28.6,34.0,25.2
2025-09-05 03:20:00,24.4,28.7,28.6,33.7,25.1
2025-09-05 03:30:00,24.3,28.9,28.6,34.0,25.1
2025-09-05 03:40:00,24.2,28.8,28.5,33.8,25.1
2025-09-05 03:50:00,24.3,28.8,28.6,34.0,25.1
2025-09-05 04:00:00,24.2,29.0,28.5,33.7,25.1
2025-09-05 04:10:00,24.4,28.7,28.6,33.9,25.0
2025-09-05 04:20:00,24.1,28.9,28.6,33.9,24.9
